#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 05 23 15 34 999 99.0 99.0  0.28 10.53  2.62 356 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 23 16 04 999 99.0 99.0  0.35  2.44  2.60 349 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 23 16 34 999 99.0 99.0  0.34  2.50  2.56 345 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 23 17 04 999 99.0 99.0  0.31  2.38  2.62 354 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 23 17 34 999 99.0 99.0  0.32  2.56  2.65 343 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 23 18 04 999 99.0 99.0  0.30  2.50  2.69 343 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 23 18 34 999 99.0 99.0  0.27  2.50  2.76 338 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 23 19 04 999 99.0 99.0  0.26 11.11  2.85 352 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 23 19 34 999 99.0 99.0  0.26 11.76  2.81   1 9999.0 999.0  13.7 999.0 99.0 99.00
2016 05 23 20 04 999 99.0 99.0  0.23 99.00  2.98 999 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 23 20 34 999 99.0 99.0  0.22 99.00  3.08 999 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 23 21 04 999 99.0 99.0  0.22 99.00  3.08 999 9999.0 999.0  13.9 999.0 99.0 99.00
2016 05 23 21 34 999 99.0 99.0  0.27 11.11  2.58 340 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 23 22 04 999 99.0 99.0  0.30  2.17  2.57  58 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 23 22 34 999 99.0 99.0  0.26  2.38  2.69  49 9999.0 999.0  13.7 999.0 99.0 99.00
2016 05 23 23 04 999 99.0 99.0  0.24 99.00  2.69 999 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 23 23 34 999 99.0 99.0  0.24 99.00  2.65 999 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 24 00 04 999 99.0 99.0  0.24 99.00  2.64 999 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 24 00 34 999 99.0 99.0  0.22 99.00  2.76 999 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 24 01 04 999 99.0 99.0  0.23 99.00  2.74 999 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 24 01 34 999 99.0 99.0  0.20 99.00  2.90 999 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 02 04 999 99.0 99.0  0.18 99.00  2.96 999 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 24 02 34 999 99.0 99.0  0.16 99.00  2.95 999 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 24 03 04 999 99.0 99.0  0.16 99.00  3.76 999 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 03 34 999 99.0 99.0  0.16 99.00  3.63 999 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 04 04 999 99.0 99.0  0.18 99.00  3.19 999 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 04 34 999 99.0 99.0  0.24 99.00  2.40 999 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 05 04 999 99.0 99.0  0.25  9.88  2.63 338 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 05 34 999 99.0 99.0  0.28  2.44  2.61  97 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 06 04 999 99.0 99.0  0.27  2.00  2.48  45 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 24 07 04 999 99.0 99.0  0.35  2.33  2.45  49 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 24 07 34 999 99.0 99.0  0.41  2.50  2.54  48 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 24 08 04 999 99.0 99.0  0.41  2.63  2.56  45 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 24 08 34 999 99.0 99.0  0.44  2.86  2.66  37 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 24 09 04 999 99.0 99.0  0.47  2.86  2.68  35 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 24 09 34 999 99.0 99.0  0.51  2.94  2.72  35 9999.0 999.0  13.0 999.0 99.0 99.00
2016 05 24 10 04 999 99.0 99.0  0.50  2.94  2.73  35 9999.0 999.0  12.9 999.0 99.0 99.00
2016 05 24 10 34 999 99.0 99.0  0.50  3.03  2.75  23 9999.0 999.0  12.9 999.0 99.0 99.00
2016 05 24 11 04 999 99.0 99.0  0.49  3.03  2.76  27 9999.0 999.0  12.9 999.0 99.0 99.00
2016 05 24 11 34 999 99.0 99.0  0.52  2.94  2.74  38 9999.0 999.0  12.8 999.0 99.0 99.00
2016 05 24 12 04 999 99.0 99.0  0.52  3.12  2.73  31 9999.0 999.0  12.8 999.0 99.0 99.00
2016 05 24 12 34 999 99.0 99.0  0.54  3.03  2.73  44 9999.0 999.0  12.8 999.0 99.0 99.00
2016 05 24 13 04 999 99.0 99.0  0.54  2.94  2.76  55 9999.0 999.0  12.8 999.0 99.0 99.00
2016 05 24 13 34 999 99.0 99.0  0.54  2.94  2.76  52 9999.0 999.0  12.8 999.0 99.0 99.00
2016 05 24 14 04 999 99.0 99.0  0.55  3.12  2.81  68 9999.0 999.0  13.0 999.0 99.0 99.00
2016 05 24 14 34 999 99.0 99.0  0.46  2.94  2.82  59 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 24 15 04 999 99.0 99.0  0.38  2.86  2.80  49 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 24 15 34 999 99.0 99.0  0.33  2.78  2.83  61 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 24 16 04 999 99.0 99.0  0.30  2.70  2.85  44 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 16 34 999 99.0 99.0  0.26  2.56  2.94  42 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 24 17 04 999 99.0 99.0  0.26  4.35  2.98   3 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 17 34 999 99.0 99.0  0.26  4.76  3.18   1 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 24 18 04 999 99.0 99.0  0.26  4.55  3.20   0 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 24 18 34 999 99.0 99.0  0.24 99.00  3.38 999 9999.0 999.0  14.3 999.0 99.0 99.00
2016 05 24 19 04 999 99.0 99.0  0.22 99.00  3.61 999 9999.0 999.0  14.3 999.0 99.0 99.00
2016 05 24 19 34 999 99.0 99.0  0.23 99.00  3.80 999 9999.0 999.0  14.0 999.0 99.0 99.00
2016 05 24 20 04 999 99.0 99.0  0.26  5.56  3.93  10 9999.0 999.0  13.9 999.0 99.0 99.00
2016 05 24 20 34 999 99.0 99.0  0.28  5.26  3.43   3 9999.0 999.0  13.8 999.0 99.0 99.00
2016 05 24 21 04 999 99.0 99.0  0.28  5.00  3.60   9 9999.0 999.0  13.7 999.0 99.0 99.00
2016 05 24 21 34 999 99.0 99.0  0.29  5.26  3.40   3 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 24 22 04 999 99.0 99.0  0.32  5.56  2.90   7 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 22 34 999 99.0 99.0  0.32  4.76  2.99   4 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 23 04 999 99.0 99.0  0.32  4.76  3.12   4 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 24 23 34 999 99.0 99.0  0.30  4.76  3.18   7 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 00 04 999 99.0 99.0  0.33  2.13  2.84  73 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 00 34 999 99.0 99.0  0.36  2.27  2.65  84 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 25 01 04 999 99.0 99.0  0.37  2.44  2.72  86 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 25 01 34 999 99.0 99.0  0.34  2.44  2.80  73 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 02 04 999 99.0 99.0  0.33  2.50  2.74  87 9999.0 999.0  13.0 999.0 99.0 99.00
2016 05 25 02 34 999 99.0 99.0  0.31  2.44  2.71  69 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 03 04 999 99.0 99.0  0.28  2.17  2.75  72 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 03 34 999 99.0 99.0  0.25  2.04  2.67  51 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 04 04 999 99.0 99.0  0.26  2.00  2.49  28 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 25 04 34 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 05 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 05 34 999 99.0 99.0  0.29  2.13  2.39 353 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 25 06 04 999 99.0 99.0  0.30  2.08  2.39 349 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 25 06 34 999 99.0 99.0  0.38  2.33  2.44 325 9999.0 999.0  13.6 999.0 99.0 99.00
2016 05 25 07 04 999 99.0 99.0  0.41  2.63  2.60 324 9999.0 999.0  13.5 999.0 99.0 99.00
2016 05 25 07 34 999 99.0 99.0  0.40  2.94  2.74 319 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 25 08 04 999 99.0 99.0  0.41  2.94  2.83 328 9999.0 999.0  13.4 999.0 99.0 99.00
2016 05 25 08 34 999 99.0 99.0  0.39  3.12  2.84 324 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 09 04 999 99.0 99.0  0.38  2.94  2.81 329 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 09 34 999 99.0 99.0  0.37  3.12  2.80 329 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 10 04 999 99.0 99.0  0.34  2.94  2.78 333 9999.0 999.0  13.3 999.0 99.0 99.00
2016 05 25 10 34 999 99.0 99.0  0.32  2.94  2.84 338 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 25 11 04 999 99.0 99.0  0.33  2.86  2.78 333 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 25 11 34 999 99.0 99.0  0.31  3.03  2.78 336 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 12 04 999 99.0 99.0  0.28  2.78  2.79 340 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 12 34 999 99.0 99.0  0.24 99.00  2.82 999 9999.0 999.0  13.1 999.0 99.0 99.00
2016 05 25 13 04 999 99.0 99.0  0.24 99.00  2.83 999 9999.0 999.0  13.2 999.0 99.0 99.00
2016 05 25 13 34 999 99.0 99.0  0.22 99.00  2.80 999 9999.0 999.0  13.4 999.0 99.0 99.00
