#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 04 999 99.0 99.0  0.57  2.94  2.68 196 9999.0 999.0   5.4 999.0 99.0 99.00
2017 01 01 00 34 999 99.0 99.0  0.58  2.78  2.65 194 9999.0 999.0   5.4 999.0 99.0 99.00
2017 01 01 01 04 999 99.0 99.0  0.66  3.12  2.80 193 9999.0 999.0   5.4 999.0 99.0 99.00
2017 01 01 01 34 999 99.0 99.0  0.62  3.45  2.86 196 9999.0 999.0   5.4 999.0 99.0 99.00
2017 01 01 02 04 999 99.0 99.0  0.70  3.33  2.95 196 9999.0 999.0   5.4 999.0 99.0 99.00
2017 01 01 02 34 999 99.0 99.0  0.61  3.33  2.86 197 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 03 04 999 99.0 99.0  0.57  3.12  2.82 196 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 03 34 999 99.0 99.0  0.56  2.94  2.75 204 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 04 04 999 99.0 99.0  0.49  3.03  2.72 200 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 04 34 999 99.0 99.0  0.59  3.12  2.77 217 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 05 04 999 99.0 99.0  0.75  3.33  3.03 229 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 05 34 999 99.0 99.0  0.94  3.85  3.25 243 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 06 04 999 99.0 99.0  0.98  3.70  3.34 252 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 06 34 999 99.0 99.0  0.95  4.17  3.40 252 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 07 34 999 99.0 99.0  0.64  3.57  2.96 260 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 08 04 999 99.0 99.0  0.67  3.33  2.93 257 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 08 34 999 99.0 99.0  0.73  3.57  3.01 259 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 09 04 999 99.0 99.0  0.69  3.57  2.97 255 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 09 34 999 99.0 99.0  0.57  3.33  2.75 260 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 10 04 999 99.0 99.0  0.61  3.12  2.73 250 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 10 34 999 99.0 99.0  0.60  3.23  2.75 239 9999.0 999.0   5.5 999.0 99.0 99.00
2017 01 01 11 04 999 99.0 99.0  0.56  3.12  2.71 243 9999.0 999.0   5.4 999.0 99.0 99.00
