#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 02 01 30 999 99.0 99.0  0.30  4.08  3.02 355 9999.0   1.8   6.9 999.0 99.0 99.00
2024 01 02 02 00 999 99.0 99.0  0.29  4.00  3.02   0 9999.0   1.8   6.8 999.0 99.0 99.00
2024 01 02 02 30 999 99.0 99.0  0.27  4.44  3.07 353 9999.0   1.8   6.8 999.0 99.0 99.00
2024 01 02 03 00 999 99.0 99.0  0.26  3.64  2.99 357 9999.0   1.8   6.8 999.0 99.0 99.00
2024 01 02 03 30 999 99.0 99.0  0.28  4.88  3.17 360 9999.0   1.9   6.8 999.0 99.0 99.00
2024 01 02 04 00 999 99.0 99.0  0.26  4.76  3.16 357 9999.0   2.2   6.8 999.0 99.0 99.00
2024 01 02 04 30 999 99.0 99.0  0.27  4.76  3.25 357 9999.0   2.2   6.8 999.0 99.0 99.00
2024 01 02 05 00 999 99.0 99.0  0.26  4.76  3.10   0 9999.0   2.3   6.8 999.0 99.0 99.00
2024 01 02 05 30 999 99.0 99.0  0.26  4.65  2.80 357 9999.0   2.2   6.7 999.0 99.0 99.00
2024 01 02 06 00 999 99.0 99.0  0.24 99.00  2.63 999 9999.0   2.1   6.7 999.0 99.0 99.00
2024 01 02 06 30 999 99.0 99.0  0.25  4.35  2.45 360 9999.0   2.0   6.7 999.0 99.0 99.00
2024 01 02 07 00 999 99.0 99.0  0.29  4.55  2.23 349 9999.0   1.7   6.7 999.0 99.0 99.00
2024 01 02 07 30 999 99.0 99.0  0.35  2.06  2.18 345 9999.0   1.3   6.7 999.0 99.0 99.00
2024 01 02 08 00 999 99.0 99.0  0.41  2.53  2.35 342 9999.0   1.0   6.7 999.0 99.0 99.00
2024 01 02 08 30 999 99.0 99.0  0.45  2.70  2.39 334 9999.0   0.7   6.7 999.0 99.0 99.00
2024 01 02 09 00 999 99.0 99.0  0.51  3.03  2.61 349 9999.0   0.4   6.7 999.0 99.0 99.00
2024 01 02 09 30 999 99.0 99.0  0.60  3.57  2.80 349 9999.0   0.2   6.7 999.0 99.0 99.00
2024 01 02 10 00 999 99.0 99.0  0.61  3.70  2.89 345 9999.0   0.1   6.7 999.0 99.0 99.00
2024 01 02 10 30 999 99.0 99.0  0.65  3.85  3.04 354 9999.0   0.1   6.7 999.0 99.0 99.00
2024 01 02 11 00 999 99.0 99.0  0.62  3.57  2.93 347 9999.0  -0.1   6.7 999.0 99.0 99.00
2024 01 02 11 30 999 99.0 99.0  0.67  4.08  3.10 358 9999.0  -0.2   6.7 999.0 99.0 99.00
2024 01 02 12 00 999 99.0 99.0  0.73  4.65  3.34   1 9999.0  -0.3   6.7 999.0 99.0 99.00
2024 01 02 12 30 999 99.0 99.0  0.77  4.76  3.52   0 9999.0  -0.2   6.7 999.0 99.0 99.00
2024 01 02 13 00 999 99.0 99.0  0.77  4.55  3.55 350 9999.0  -0.5   6.7 999.0 99.0 99.00
2024 01 02 13 30 999 99.0 99.0  0.71  4.88  3.42 353 9999.0  -0.5   6.7 999.0 99.0 99.00
2024 01 02 14 00 999 99.0 99.0  0.66  4.76  3.27 356 9999.0  -0.7   6.7 999.0 99.0 99.00
2024 01 02 14 30 999 99.0 99.0  0.66  4.44  3.31 345 9999.0  -0.7   6.7 999.0 99.0 99.00
2024 01 02 15 00 999 99.0 99.0  0.62  4.26  3.25 349 9999.0  -0.8   6.7 999.0 99.0 99.00
2024 01 02 15 30 999 99.0 99.0  0.59  4.26  3.22 347 9999.0  -0.7   6.7 999.0 99.0 99.00
2024 01 02 16 00 999 99.0 99.0  0.55  4.08  3.10 347 9999.0  -0.5   6.7 999.0 99.0 99.00
2024 01 02 16 30 999 99.0 99.0  0.53  4.08  2.94 348 9999.0  -0.4   6.8 999.0 99.0 99.00
2024 01 02 17 00 999 99.0 99.0  0.50  4.00  2.95 349 9999.0  -0.3   6.8 999.0 99.0 99.00
2024 01 02 17 30 999 99.0 99.0  0.47  3.92  2.98 354 9999.0  -0.3   6.8 999.0 99.0 99.00
2024 01 02 18 00 999 99.0 99.0  0.42  3.77  2.89 351 9999.0   0.1   6.9 999.0 99.0 99.00
2024 01 02 18 30 999 99.0 99.0  0.40  3.92  2.90 351 9999.0   0.0   6.9 999.0 99.0 99.00
2024 01 02 19 00 999 99.0 99.0  0.38  3.77  2.93 350 9999.0 999.0   6.9 999.0 99.0 99.00
2024 01 02 19 30 999 99.0 99.0  0.34  3.57  2.94 348 9999.0   0.5   6.9 999.0 99.0 99.00
2024 01 02 20 00 999 99.0 99.0  0.33  3.57  2.95 345 9999.0   0.9   6.9 999.0 99.0 99.00
2024 01 02 20 30 999 99.0 99.0  0.30  3.51  2.94 346 9999.0   1.4   6.9 999.0 99.0 99.00
2024 01 02 21 00 999 99.0 99.0  0.29  3.33  3.03 347 9999.0   1.7   6.9 999.0 99.0 99.00
2024 01 02 21 30 999 99.0 99.0  0.27  3.70  3.04 358 9999.0   1.5   6.9 999.0 99.0 99.00
2024 01 02 22 00 999 99.0 99.0  0.25  3.70  3.06 352 9999.0   1.7   6.8 999.0 99.0 99.00
2024 01 02 22 30 999 99.0 99.0  0.23 99.00  3.07 999 9999.0   2.0   6.8 999.0 99.0 99.00
2024 01 02 23 00 999 99.0 99.0  0.21 99.00  3.12 999 9999.0   2.2   6.8 999.0 99.0 99.00
2024 01 02 23 30 999 99.0 99.0  0.20 99.00  3.02 999 9999.0   2.2   6.8 999.0 99.0 99.00
2024 01 03 00 00 999 99.0 99.0  0.20 99.00  2.30 999 9999.0   2.3   6.8 999.0 99.0 99.00
2024 01 03 00 30 999 99.0 99.0  0.20 99.00  2.18 999 9999.0   2.6   6.8 999.0 99.0 99.00
2024 01 03 01 00 999 99.0 99.0  0.21 99.00  2.03 999 9999.0   3.2   6.8 999.0 99.0 99.00
2024 01 03 01 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   3.4   6.9 999.0 99.0 99.00
2024 01 03 02 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   3.3   7.0 999.0 99.0 99.00
2024 01 03 02 30 999 99.0 99.0  0.33  2.15  2.04 253 9999.0   3.3   7.0 999.0 99.0 99.00
2024 01 03 03 00 999 99.0 99.0  0.34  2.13  2.03 252 9999.0   3.3   7.0 999.0 99.0 99.00
2024 01 03 03 30 999 99.0 99.0  0.35  2.30  2.07 249 9999.0   3.5   7.0 999.0 99.0 99.00
2024 01 03 04 00 999 99.0 99.0  0.35  2.30  2.07 255 9999.0   3.4   7.0 999.0 99.0 99.00
2024 01 03 04 30 999 99.0 99.0  0.35  2.27  2.05 255 9999.0   3.0   7.0 999.0 99.0 99.00
2024 01 03 05 00 999 99.0 99.0  0.32  2.25  1.99 258 9999.0   2.8   7.1 999.0 99.0 99.00
2024 01 03 05 30 999 99.0 99.0  0.33  2.25  1.99 265 9999.0   2.5   7.1 999.0 99.0 99.00
2024 01 03 06 00 999 99.0 99.0  0.33  2.20  2.01 279 9999.0   2.4   7.0 999.0 99.0 99.00
2024 01 03 06 30 999 99.0 99.0  0.33  2.25  2.01 266 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 07 00 999 99.0 99.0  0.36  2.56  2.07 290 9999.0   2.0   7.1 999.0 99.0 99.00
2024 01 03 07 30 999 99.0 99.0  0.38  2.33  2.07 277 9999.0   2.2   7.0 999.0 99.0 99.00
2024 01 03 08 00 999 99.0 99.0  0.42  2.60  2.17 299 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 08 30 999 99.0 99.0  0.50  2.86  2.32 309 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 09 00 999 99.0 99.0  0.53  3.03  2.50 311 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 09 30 999 99.0 99.0  0.51  3.17  2.52 312 9999.0   2.6   7.0 999.0 99.0 99.00
2024 01 03 10 00 999 99.0 99.0  0.51  3.03  2.54 317 9999.0   2.6   7.0 999.0 99.0 99.00
2024 01 03 10 30 999 99.0 99.0  0.54  3.33  2.63 315 9999.0   2.5   7.0 999.0 99.0 99.00
2024 01 03 11 00 999 99.0 99.0  0.60  3.39  2.80 332 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 11 30 999 99.0 99.0  0.66  3.92  2.98 344 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 12 00 999 99.0 99.0  0.68  4.00  3.13 341 9999.0   2.1   7.0 999.0 99.0 99.00
2024 01 03 12 30 999 99.0 99.0  0.73  4.44  3.26 352 9999.0   2.2   7.0 999.0 99.0 99.00
2024 01 03 13 00 999 99.0 99.0  0.71  4.44  3.17 347 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 13 30 999 99.0 99.0  0.72  4.44  3.16 341 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 14 00 999 99.0 99.0  0.69  4.00  3.04 337 9999.0   2.3   7.0 999.0 99.0 99.00
2024 01 03 14 30 999 99.0 99.0  0.69  4.17  3.11 333 9999.0   2.5   7.0 999.0 99.0 99.00
2024 01 03 15 00 999 99.0 99.0  0.70  4.00  3.01 332 9999.0   2.6   7.0 999.0 99.0 99.00
2024 01 03 15 30 999 99.0 99.0  0.70  4.08  2.96 339 9999.0   2.8   7.0 999.0 99.0 99.00
2024 01 03 16 00 999 99.0 99.0  0.66  4.00  2.86 334 9999.0   3.0   7.0 999.0 99.0 99.00
2024 01 03 16 30 999 99.0 99.0  0.63  3.92  2.81 331 9999.0   3.4   7.0 999.0 99.0 99.00
2024 01 03 17 00 999 99.0 99.0  0.62  3.77  2.81 337 9999.0   3.7   7.0 999.0 99.0 99.00
2024 01 03 17 30 999 99.0 99.0  0.63  4.00  2.86 340 9999.0   4.1   7.0 999.0 99.0 99.00
2024 01 03 18 00 999 99.0 99.0  0.60  3.92  2.82 338 9999.0   4.3   7.0 999.0 99.0 99.00
2024 01 03 18 30 999 99.0 99.0  0.62  3.77  2.85 338 9999.0   4.5   7.0 999.0 99.0 99.00
2024 01 03 19 00 999 99.0 99.0  0.61  3.70  2.84 336 9999.0   4.6   7.0 999.0 99.0 99.00
2024 01 03 19 30 999 99.0 99.0  0.64  4.00  2.92 345 9999.0   4.6   7.0 999.0 99.0 99.00
2024 01 03 20 00 999 99.0 99.0  0.59  4.00  2.87 350 9999.0   4.7   7.0 999.0 99.0 99.00
2024 01 03 20 30 999 99.0 99.0  0.58  4.08  3.04 352 9999.0   4.7   7.0 999.0 99.0 99.00
2024 01 03 21 00 999 99.0 99.0  0.55  4.26  3.15 358 9999.0   4.6   7.0 999.0 99.0 99.00
2024 01 03 21 30 999 99.0 99.0  0.53  4.65  3.16   4 9999.0   4.3   7.0 999.0 99.0 99.00
2024 01 03 22 00 999 99.0 99.0  0.50  4.65  3.19 360 9999.0   4.4   7.0 999.0 99.0 99.00
2024 01 03 22 30 999 99.0 99.0  0.48  5.00  3.16   0 9999.0   4.5   7.0 999.0 99.0 99.00
2024 01 03 23 00 999 99.0 99.0  0.44  4.65  2.98 358 9999.0   4.5   7.0 999.0 99.0 99.00
2024 01 03 23 30 999 99.0 99.0  0.39  4.44  2.97 352 9999.0   4.4   7.0 999.0 99.0 99.00
2024 01 04 00 00 999 99.0 99.0  0.37  4.76  3.06 350 9999.0   4.5   7.0 999.0 99.0 99.00
2024 01 04 00 30 999 99.0 99.0  0.36  4.76  3.32 344 9999.0   4.7   7.0 999.0 99.0 99.00
2024 01 04 01 00 999 99.0 99.0  0.34  4.44  3.41 349 9999.0   4.7   7.0 999.0 99.0 99.00
2024 01 04 01 30 999 99.0 99.0  0.32  4.55  3.46 353 9999.0   4.6   6.8 999.0 99.0 99.00
2024 01 04 02 00 999 99.0 99.0  0.31  4.76  3.49 357 9999.0   4.7   6.7 999.0 99.0 99.00
2024 01 04 02 30 999 99.0 99.0  0.28  4.44  3.48 356 9999.0   4.4   6.7 999.0 99.0 99.00
2024 01 04 03 00 999 99.0 99.0  0.28  4.35  2.93 356 9999.0   4.2   6.7 999.0 99.0 99.00
2024 01 04 03 30 999 99.0 99.0  0.30  4.35  2.48 354 9999.0   4.4   6.7 999.0 99.0 99.00
2024 01 04 04 00 999 99.0 99.0  0.31  4.35  2.46 351 9999.0   4.4   6.7 999.0 99.0 99.00
2024 01 04 04 30 999 99.0 99.0  0.31  2.08  2.41 281 9999.0   4.4   6.7 999.0 99.0 99.00
2024 01 04 05 00 999 99.0 99.0  0.28  4.17  2.53 352 9999.0   4.3   6.7 999.0 99.0 99.00
2024 01 04 05 30 999 99.0 99.0  0.25  4.17  2.44 344 9999.0   4.3   6.7 999.0 99.0 99.00
