#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 01 01 30 999 99.0 99.0  1.45  5.26  4.19 339 9999.0 999.0   4.3 999.0 99.0 99.00
2018 01 01 14 30 999 99.0 99.0  1.61  5.26  4.30 336 9999.0 999.0   3.6 999.0 99.0 99.00
2018 01 01 16 30 999 99.0 99.0  1.35  5.56  4.31 338 9999.0 999.0   3.6 999.0 99.0 99.00
2018 01 01 19 00 999 99.0 99.0  1.39  5.56  4.35 339 9999.0 999.0   3.8 999.0 99.0 99.00
2018 01 02 11 30 999 99.0 99.0  1.22  4.35  3.52 345 9999.0 999.0   3.2 999.0 99.0 99.00
2018 01 02 12 00 999 99.0 99.0  1.30  4.55  3.63 340 9999.0 999.0   3.1 999.0 99.0 99.00
2018 01 02 13 30 999 99.0 99.0  1.18  4.35  3.63 333 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 02 14 00 999 99.0 99.0  1.27  4.55  3.72 342 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 02 18 30 999 99.0 99.0  0.90  5.56  3.93 347 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 03 23 00 999 99.0 99.0  0.24 99.00  2.05 999 9999.0 999.0   2.9 999.0 99.0 99.00
2018 01 04 01 00 999 99.0 99.0  0.20 99.00  2.13 999 9999.0 999.0   2.9 999.0 99.0 99.00
2018 01 04 01 30 999 99.0 99.0  0.14 99.00  2.04 999 9999.0 999.0   2.9 999.0 99.0 99.00
2018 01 04 04 30 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.6 999.0 99.0 99.00
2018 01 04 09 00 999 99.0 99.0  0.43  2.86  2.55  20 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 04 11 30 999 99.0 99.0  0.86  3.57  3.14  35 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 04 12 00 999 99.0 99.0  1.03  4.00  3.32  32 9999.0 999.0   3.0 999.0 99.0 99.00
2018 01 04 12 30 999 99.0 99.0  1.14  4.17  3.54  38 9999.0 999.0   3.0 999.0 99.0 99.00
