YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 01 01 00 322 10.7 13.7  1.27  4.17  4.13   5 1024.9  -8.3   6.3 999.0 99.0
97 01 01 01 312 10.8 13.8  1.41  5.26  4.14  40 1026.2  -9.1   6.3 999.0 99.0
97 01 01 02 323 11.4 14.0  1.43  4.55  4.25 355 1026.8  -9.2   6.3 999.0 99.0
97 01 01 03 336 11.4 14.2  1.57  5.56  4.40  42 1027.3  -9.7   6.3 999.0 99.0
97 01 01 04 333 10.9 14.0  1.83  6.67  4.76  45 1027.6 -10.6   6.3 999.0 99.0
97 01 01 05 332 10.5 14.0  1.81  6.67  4.79  32 1027.7 -10.8   6.3 999.0 99.0
97 01 01 06 316  8.9 11.1  1.68  6.25  4.77  32 1028.2 -11.0   6.3 999.0 99.0
97 01 01 07 312  8.5 10.4  1.61  6.25  4.75  39 1028.8 -11.1   6.3 999.0 99.0
97 01 01 08 302  7.9 10.2  1.61  6.67  4.62  39 1028.7 -12.1   6.2 999.0 99.0
97 01 01 09 303  7.9 10.4  1.43  6.67  4.74  41 1028.4 -11.6   6.2 999.0 99.0
97 01 01 10 304  8.0  9.6  1.48  6.25  4.73  40 1028.8 -11.6   6.2 999.0 99.0
97 01 01 11 295  7.0  9.1  1.44  6.67  4.69  47 1029.5 -12.2   6.1 999.0 99.0
97 01 01 12 292  7.5  9.3  1.24  6.67  4.50  45 1029.9 -11.7   6.0 999.0 99.0
97 01 01 13 300  7.8 10.1  1.15  5.88  4.24  44 1030.3 -11.6   6.0 999.0 99.0
97 01 01 14 293  7.1  8.4   .99  5.88  4.13  43 1029.8 -11.6   6.0 999.0 99.0
97 01 01 15 295  4.8  6.3   .92  5.88  4.10  43 1029.9 -11.1   6.0 999.0 99.0
97 01 01 16 300  4.6  6.7   .76  5.88  4.08  45 1028.8 -10.1   6.0 999.0 99.0
97 01 01 17 288  4.3  5.9   .66  5.56  4.14  45 1027.6  -9.2   6.0 999.0 99.0
97 01 01 18 265  4.4  6.1   .57  5.56  4.15  41 1026.4  -7.9   6.0 999.0 99.0
97 01 01 19 273  3.5  5.0   .51  5.00  4.35  44 1025.7  -6.6   6.0 999.0 99.0
97 01 01 20 270  3.7  5.0   .43  4.55  4.49  39 1025.0  -5.9   5.9 999.0 99.0
97 01 01 21 243  3.6  5.1   .38  5.00  4.58  51 1025.0  -5.4   5.9 999.0 99.0
97 01 01 22 215  3.2  4.6   .36  5.88  4.74  63 1024.3  -5.0   5.9 999.0 99.0
97 01 01 23 221  5.0  6.4   .33 10.00  5.05  81 1024.3  -4.7   5.9 999.0 99.0
97 01 02 00 224  6.5  8.3   .33  9.09  4.17  93 1024.3  -4.2   5.9 999.0 99.0
97 01 02 01 210  7.1  9.1   .42  2.50  3.53  90 1022.8  -3.7   5.9 999.0 99.0
97 01 02 02 214  6.4  7.8   .39  2.63  3.31  74 1021.6  -3.9   5.9 999.0 99.0
97 01 02 03 204  5.0  6.4   .31  2.50  3.64  95 1019.7  -3.6   5.9 999.0 99.0
97 01 02 04 182  6.1  7.4   .31  2.50  3.45  92 1019.6  -3.3   5.9 999.0 99.0
97 01 02 05 187  5.8  7.2   .31  2.50  3.28  75 1018.1  -3.0   5.9 999.0 99.0
97 01 02 06 177  7.0  8.5   .35  2.56  3.19 156 1016.5  -1.7   5.9 999.0 99.0
97 01 02 07 180  8.1  9.6   .47  2.94  3.06 161 1015.6  -1.6   5.9 999.0 99.0
97 01 02 08 199  8.0  9.7   .59  3.03  3.24 156 1014.5  -1.0   5.9 999.0 99.0
97 01 02 09 205  7.1  8.5   .59  4.17  3.36 135 1013.4   -.7   6.0 999.0 99.0
97 01 02 10 195  6.9  7.8   .58  4.35  3.56 135 1011.9    .1   6.0 999.0 99.0
97 01 02 11 184  6.7  8.1   .53  4.35  3.48 138 1011.0    .7   6.0 999.0 99.0
97 01 02 12 187  7.8  9.4   .52  4.17  3.48 139 1010.2   1.2   6.0 999.0 99.0
97 01 02 13 192  7.7  9.4   .51  3.45  3.26 142 1009.6   1.3   6.0 999.0 99.0
97 01 02 14 220  6.7  8.4   .45  3.12  3.16 153 1009.3   1.3   6.0 999.0 99.0
97 01 02 15 237  6.8  8.1   .45  2.50  3.10 145 1008.8   1.6   6.0 999.0 99.0
97 01 02 16 240  5.9  7.2   .47  2.56  3.00 135 1007.9   1.7   5.9 999.0 99.0
97 01 02 17 228  5.1  6.3   .48  2.70  2.99 238 1006.5   2.0   5.9 999.0 99.0
97 01 02 18 247  5.0  6.1   .41  2.63  2.96 196 1006.2   2.4   6.0 999.0 99.0
97 01 02 19 258  4.9  6.9   .33  2.63  3.10 146 1005.7   2.8   6.0 999.0 99.0
97 01 02 20 257  5.3  7.0   .30  2.56  3.10 222 1005.7   2.8   6.0 999.0 99.0
97 01 02 21 267  4.1  5.4   .31  2.63  3.10 251 1006.2   2.9   6.0 999.0 99.0
97 01 02 22 300  5.2  6.2   .27  2.50  3.32 111 1006.2   3.2   6.0 999.0 99.0
97 01 02 23 285  4.9  5.9   .23  5.00  3.98 101 1006.3   3.5   6.0 999.0 99.0
97 01 03 00 290  4.3  5.0   .26  2.50  3.79 110 1006.7   3.6   6.0 999.0 99.0
97 01 03 01 345  2.6  3.5   .22  5.56  4.07 102 1007.1   3.1   5.9 999.0 99.0
97 01 03 02 342  2.0  2.6   .20  5.26  4.58 101 1007.2   2.8   5.9 999.0 99.0
97 01 03 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 04  11   .9  1.4   .21  5.56  4.93 104 1007.2   2.8   5.9 999.0 99.0
97 01 03 05  82  1.2  1.8   .22  5.26  4.79 103 1006.3   2.8   5.9 999.0 99.0
97 01 03 06 132  2.1  2.9   .23  5.26  4.24  90 1005.5   2.8   5.9 999.0 99.0
97 01 03 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 08 178  5.0  6.1   .27  5.26  4.43  91 1004.7   2.7   6.0 999.0 99.0
97 01 03 09 172  5.8  6.8   .30  6.67  3.85 114 1003.2   2.4   6.0 999.0 99.0
97 01 03 10 165  7.1  8.3   .36  2.56  3.27 149 1002.4   3.1   6.1 999.0 99.0
97 01 03 11 176  7.1  9.5   .42  2.86  3.20 156 1001.8   3.6   6.0 999.0 99.0
97 01 03 12 170  5.7  7.3   .48  3.03  3.25 152 1000.6   3.9   6.0 999.0 99.0
97 01 03 13 218  4.1  4.9   .44  3.12  3.43 152 1000.9   4.3   6.0 999.0 99.0
97 01 03 14 193  2.5  3.4   .44  3.70  3.63 137 1000.1   4.3   6.2 999.0 99.0
97 01 03 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 01 03 17 329  4.7  6.0   .36  3.57  4.09 110 1001.6   4.3   6.3 999.0 99.0
97 01 03 18 341  4.1  5.2   .35  7.14  4.13 104 1001.7   3.7   6.2 999.0 99.0
97 01 03 19 358  5.6  6.3   .44  2.56  3.63 100 1002.4   2.9   6.0 999.0 99.0
97 01 03 20 354  4.0  5.1   .56  3.03  3.52  24 1003.1   2.4   6.0 999.0 99.0
97 01 03 21 357  5.3  6.6   .69  4.00  3.93  39 1003.9   2.3   5.9 999.0 99.0
97 01 03 22   6  6.5  8.0   .88  4.76  4.04  42 1004.8   2.1   6.0 999.0 99.0
97 01 03 23   7  7.4 10.1   .99  5.00  4.11  38 1005.6   2.1   6.0 999.0 99.0
97 01 04 00   3  5.9  7.2  1.08  5.26  4.41  35 1006.9   2.0   6.0 999.0 99.0
97 01 04 01 348  4.3  5.3  1.01  5.56  4.30  32 1008.0   2.0   6.0 999.0 99.0
97 01 04 02 360  4.3  5.6   .92  5.26  4.37  33 1008.6   2.0   6.0 999.0 99.0
97 01 04 03 355  4.0  5.2   .89  5.26  4.54  33 1009.4   2.0   6.0 999.0 99.0
97 01 04 04 358  4.1  5.4   .80  5.00  4.40  38 1010.0   2.0   6.0 999.0 99.0
97 01 04 05   5  4.6  5.6   .75  4.76  4.47  45 1010.2   2.1   6.0 999.0 99.0
97 01 04 06 360  3.4  4.8   .73  5.26  4.43  45 1010.9   2.1   6.0 999.0 99.0
97 01 04 07   2  3.7  4.8   .71  5.26  4.33  55 1011.8   2.4   6.0 999.0 99.0
97 01 04 08 348  2.0  2.7   .68  5.26  4.33  57 1012.7   2.4   6.0 999.0 99.0
97 01 04 09 352  1.6  2.0   .72  5.26  4.48  57 1012.7   2.4   6.0 999.0 99.0
97 01 04 10 330  1.7  2.6   .63  5.26  4.39  56 1013.4   2.5   6.0 999.0 99.0
97 01 04 11 301  2.2  2.9   .60  5.00  4.36  63 1014.1   2.4   6.0 999.0 99.0
97 01 04 12 319  2.1  2.8   .59  5.00  4.60  63 1014.3   2.7   5.9 999.0 99.0
97 01 04 13 286  2.1  3.0   .55  5.00  4.57  59 1015.0   2.9   6.0 999.0 99.0
97 01 04 14 242  3.0  3.9   .56  5.26  4.65  60 1016.1   3.2   6.0 999.0 99.0
97 01 04 15 247  3.6  4.0   .54  5.26  4.80  53 1017.0   3.1   6.0 999.0 99.0
97 01 04 16 261  3.1  3.6   .49  5.26  4.70  60 1017.2   3.6   6.0 999.0 99.0
97 01 04 17 296  1.8  2.5   .49  5.26  4.81  70 1016.4   4.1   6.0 999.0 99.0
97 01 04 18 342  1.4  2.3   .47  5.26  4.80  76 1015.9   4.3   6.2 999.0 99.0
97 01 04 19   8  1.3  2.1   .53  5.26  4.89  71 1016.3   4.7   6.2 999.0 99.0
97 01 04 20  62  1.8  2.2   .57  5.00  4.84  68 1016.5   4.7   6.3 999.0 99.0
97 01 04 21  58  1.9  2.6   .55  5.00  4.78  77 1016.5   4.4   6.2 999.0 99.0
97 01 04 22  58  2.6  3.4   .48  5.00  4.74  80 1016.7   4.3   6.0 999.0 99.0
97 01 04 23 104  2.6  3.2   .48  5.00  4.69  74 1017.2   4.4   6.0 999.0 99.0
97 01 05 00  98  3.0  3.5   .47  4.76  4.83  77 1017.2   4.7   6.0 999.0 99.0
97 01 05 01 100  4.7  5.5   .44  5.00  5.04  82 1016.4   4.7   6.0 999.0 99.0
97 01 05 02 128  4.5  5.2   .41  4.76  4.95  82 1016.6   4.8   6.0 999.0 99.0
97 01 05 03 122  5.1  6.0   .44  4.76  4.88  78 1016.4   5.1   6.0 999.0 99.0
97 01 05 04 130  4.3  5.1   .44  8.33  4.61  93 1016.4   5.1   6.0 999.0 99.0
97 01 05 05 117  4.5  5.3   .47  8.33  4.35  91 1015.0   5.5   6.0 999.0 99.0
97 01 05 06 114  5.4  6.1   .46  8.33  4.06  83 1014.2   5.5   6.0 999.0 99.0
97 01 05 07 118  6.1  6.8   .52  2.70  3.81  88 1013.4   5.7   6.0 999.0 99.0
97 01 05 08 123  5.8  6.6   .58  8.33  3.78  93 1012.7   5.9   6.0 999.0 99.0
97 01 05 09 118  6.6  8.0   .62  3.45  3.77  85 1011.7   6.0   6.0 999.0 99.0
97 01 05 10 115  7.1  8.2   .75  3.57  3.78  85 1010.3   6.2   6.0 999.0 99.0
97 01 05 11 106  6.8  8.0   .81  4.00  3.72  88 1009.6   6.3   6.1 999.0 99.0
97 01 05 12 100  5.9  6.8   .80  4.35  3.87  97 1009.4   6.3   6.2 999.0 99.0
97 01 05 13 109  4.9  5.7   .85  4.35  4.03  92 1008.6   6.3   6.2 999.0 99.0
97 01 05 14 110  5.0  6.0   .82  4.35  4.15  86 1007.0   6.4   6.2 999.0 99.0
97 01 05 15 138  4.3  5.0   .89  4.76  4.21  88 1006.3   6.6   6.0 999.0 99.0
97 01 05 16 190  2.4  3.0   .85  4.76  4.30  89 1005.2   6.4   5.9 999.0 99.0
97 01 05 17  77   .4   .7   .79  5.00  4.35  92 1003.4   6.0   5.9 999.0 99.0
97 01 05 18 107  1.7  2.0   .78  5.26  4.47  82 1001.6   6.3   5.6 999.0 99.0
97 01 05 19 163   .8  1.3   .78  5.00  4.61  86 1000.3   6.6   5.6 999.0 99.0
97 01 05 20 157  3.0  3.7   .80  5.00  4.62  88  998.6   7.0   5.5 999.0 99.0
