year,mean_air_temp,max_air_temp,mean_sst,max_sst,mean_acm_speed,max_acm_speed,mean_acm_vertical_speed,mean_wave_hs,mean_wave_tp,mean_wave_ta,mean_acm_direction
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,10.75192066204338,11.409178094794521,NA,NA,NA,0.560935985621296,4.208137249796682,3.1684817559197027,NA
2018,NA,NA,11.221932071489727,11.85972603780822,NA,NA,NA,0.5813083284756632,4.243636690912635,3.2223116824385505,NA
2019,NA,NA,11.195060975958384,11.782876700273976,NA,NA,NA,0.5579117891241179,4.155184401332503,3.1940813289461394,NA
2020,NA,NA,11.925452524965847,12.47158470273224,NA,NA,NA,0.5348599726775957,4.054400864964709,3.1400830430954008,NA
2021,NA,NA,12.2952003445137,12.962328738630134,NA,NA,NA,0.5558520547945206,4.048939824682648,3.149837177133562,NA
2022,NA,NA,12.145608369616628,12.838085036712332,NA,NA,NA,0.562321257845988,4.066156810577012,3.1992569906828368,NA
2023,11.467154407834288,13.739759123835617,12.295741174308096,13.067075477534248,0.1293745056160025,0.26216986301369866,-0.010066800112837058,0.5067734818465449,4.3110688530992975,3.2076368084501654,124.31845601686501
2024,NA,NA,12.013256930548113,12.722983744262296,0.1229749519756296,0.2570245901639344,-0.01769684210561716,0.533176760137226,3.9724131968549954,3.1328066800523553,106.9233849604468
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
